# Optical absorption spectrum of Sulforhodamine 101 in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-20-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 139000 cm-1/M at 576.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Birge, R. R. (1987) “Kodak Laser Dyes,”  Kodak publication JJ-169.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
311.74	18851
311.99	17502
312.24	18101
312.49	18139
312.74	17743
312.99	17910
313.24	17737
313.49	18272
313.74	17677
313.99	18424
314.24	18327
314.49	17474
314.74	17186
314.99	16780
315.24	17059
315.49	16268
315.74	15943
315.99	16256
316.24	15263
316.49	14215
316.74	15252
316.99	14909
317.24	14331
317.49	14239
317.74	13910
317.99	14009
318.24	13441
318.49	12670
318.74	12530
318.99	12701
319.24	13268
319.49	12091
319.74	11254
319.99	12035
320.24	10546
320.49	11660
320.74	10156
320.99	10050
321.24	10213
321.49	9937
321.74	9855
321.99	9439
322.24	9340
322.49	8152
322.74	8776
322.99	8257
323.24	8555
323.49	8360
323.74	7911
323.99	7454
324.24	7139
324.49	7228
324.74	7184
324.99	6606
325.24	7353
325.49	5590
325.74	6341
325.99	5658
326.24	5183
326.49	5701
326.74	5515
326.99	5383
327.24	5029
327.49	5605
327.74	3889
327.99	4777
328.24	4039
328.49	4743
328.74	4349
328.99	4084
329.24	3996
329.49	4663
329.74	3966
329.99	4216
330.24	4020
330.49	4039
330.74	3932
330.99	3744
331.24	3837
331.49	3157
331.74	3643
331.99	3462
332.24	4554
332.49	3620
332.74	3139
332.99	2843
333.24	2805
333.49	2551
333.74	3378
333.99	2926
334.24	2798
334.49	2988
334.74	2813
334.99	3088
335.24	2550
335.49	2223
335.74	2384
335.99	2309
336.24	2419
336.49	2619
336.74	2035
336.99	2967
337.24	2637
337.49	2506
337.74	2620
337.99	2968
338.24	2778
338.49	2281
338.74	3017
338.99	1902
339.24	2564
339.49	2360
339.74	1796
339.99	2384
340.24	2621
340.49	2405
340.74	2629
340.99	2586
341.24	2070
341.49	2616
341.74	2053
341.99	2151
342.24	2407
342.49	2217
342.74	2353
342.99	2652
343.24	2572
343.49	2674
343.74	2651
343.99	2845
344.24	2782
344.49	2734
344.74	2676
344.99	3132
345.24	2847
345.49	2808
345.74	3385
345.99	3225
346.24	3219
346.49	3325
346.74	2983
346.99	3558
347.24	3061
347.49	3510
347.74	3232
347.99	3121
348.24	3582
348.49	3320
348.74	3705
348.99	3284
349.24	3361
349.49	4541
349.74	3123
349.99	3964
350.24	3793
350.49	3568
350.74	3679
350.99	3877
351.24	4049
351.49	3650
351.74	3568
351.99	4274
352.24	3918
352.49	3510
352.74	4015
352.99	4111
353.24	3786
353.49	3597
353.74	3993
353.99	3859
354.24	3822
354.49	3940
354.74	4070
354.99	4357
355.24	3989
355.49	4624
355.74	3967
355.99	4105
356.24	4779
356.49	4337
356.74	4351
356.99	4406
357.24	4685
357.49	4305
357.74	4457
357.99	4458
358.24	4565
358.49	4750
358.74	4843
358.99	5151
359.24	5136
359.49	4853
359.74	5611
359.99	5491
360.24	5786
360.49	6099
360.74	5252
360.99	6070
361.24	5686
361.49	6103
361.74	6088
361.99	6616
362.24	6325
362.49	6286
362.74	6721
362.99	7133
363.24	7098
363.49	7411
363.74	7097
363.99	7317
364.24	7166
364.49	7518
364.74	7623
364.99	7815
365.24	8096
365.49	8221
365.74	7956
365.99	8254
366.24	8214
366.49	8107
366.74	8484
366.99	8282
367.24	8161
367.49	8453
367.74	8618
367.99	8547
368.24	8536
368.49	8166
368.74	8461
368.99	8339
369.24	8286
369.49	8588
369.74	8114
369.99	8012
370.24	8049
370.49	7548
370.74	7416
370.99	7420
371.24	7279
371.49	7373
371.74	6889
371.99	7017
372.24	6567
372.49	6375
372.74	6479
372.99	6259
373.24	6440
373.49	6099
373.74	5932
373.99	5753
374.24	5317
374.49	5035
374.74	5110
374.99	5130
375.24	5019
375.49	4995
375.74	4562
375.99	4644
376.24	4488
376.49	4053
376.74	4057
376.99	3537
377.24	3781
377.49	3651
377.74	3491
377.99	3189
378.24	2936
378.49	3020
378.74	2704
378.99	2973
379.24	2348
379.49	2602
379.74	2665
379.99	2517
380.24	2534
380.49	2439
380.74	2275
380.99	2088
381.24	1981
381.49	2100
381.74	1790
381.99	2238
382.24	1811
382.49	1508
382.74	1399
382.99	1368
383.24	1435
383.49	1685
383.74	1118
383.99	1778
384.24	1677
384.49	1231
384.74	1642
384.99	1443
385.24	1234
385.49	1503
385.74	1193
385.99	1179
386.24	1094
386.49	1424
386.74	1570
386.99	1568
387.24	1376
387.49	1286
387.74	1481
387.99	1289
388.24	1207
388.49	1309
388.74	1295
388.99	1232
389.24	746
389.49	1386
389.74	1249
389.99	1367
390.24	970
390.49	896
390.74	1506
390.99	1097
391.24	1372
391.49	844
391.74	957
391.99	1245
392.24	1137
392.49	857
392.74	1250
392.99	919
393.24	1323
393.49	1288
393.74	1108
393.99	1291
394.24	1178
394.49	992
394.74	1432
394.99	1161
395.24	1181
395.49	1354
395.74	1279
395.99	1530
396.24	1253
396.49	1210
396.74	1148
396.99	1203
397.24	1346
397.49	1024
397.74	1256
397.99	1378
398.24	1459
398.49	1519
398.74	1575
398.99	1676
399.24	1245
399.49	1291
399.74	1480
399.99	1673
400.24	1700
400.49	1378
400.74	1734
400.99	1412
401.24	1674
401.49	1506
401.74	1308
401.99	1260
402.24	1671
402.49	1503
402.74	1349
402.99	1633
403.24	1662
403.49	1425
403.74	1288
403.99	1325
404.24	1301
404.49	1558
404.74	1839
404.99	1531
405.24	1569
405.49	1706
405.74	1509
405.99	1674
406.24	1856
406.49	1595
406.74	1667
406.99	1804
407.24	1660
407.49	1733
407.74	1626
407.99	1538
408.24	1617
408.49	1865
408.74	1812
408.99	1621
409.24	1849
409.49	1974
409.74	1885
409.99	2275
410.24	2023
410.49	1762
410.74	1844
410.99	1850
411.24	2268
411.49	2263
411.74	1935
411.99	1821
412.24	2261
412.49	2147
412.74	2090
412.99	2042
413.24	2025
413.49	1913
413.74	2023
413.99	1986
414.24	2122
414.49	2296
414.74	2077
414.99	1898
415.24	1974
415.49	2222
415.74	2130
415.99	2090
416.24	2454
416.49	2313
416.74	2358
416.99	2233
417.24	2109
417.49	2436
417.74	2217
417.99	2537
418.24	2449
418.49	2320
418.74	2108
418.99	2158
419.24	2113
419.49	2079
419.74	2214
419.99	2260
420.24	2376
420.49	2448
420.74	2216
420.99	2547
421.24	2369
421.49	2252
421.74	2327
421.99	2553
422.24	2308
422.49	2154
422.74	2150
422.99	2248
423.24	2371
423.49	2187
423.74	2430
423.99	2265
424.24	2373
424.49	2288
424.74	2044
424.99	2282
425.24	2340
425.49	2299
425.74	2061
425.99	2139
426.24	2313
426.49	2138
426.74	2233
426.99	2084
427.24	2178
427.49	2002
427.74	2341
427.99	2157
428.24	2133
428.49	1818
428.74	1976
428.99	2093
429.24	1933
429.49	1944
429.74	2251
429.99	2133
430.24	2205
430.49	2203
430.74	2110
430.99	2123
431.24	2028
431.49	1720
431.74	2079
431.99	1872
432.24	1832
432.49	2031
432.74	1996
432.99	2001
433.24	1965
433.49	1475
433.74	1690
433.99	1941
434.24	1720
434.49	1836
434.74	1898
434.99	1598
435.24	1883
435.49	1944
435.74	1747
435.99	1913
436.24	1786
436.49	1692
436.74	1779
436.99	1812
437.24	1934
437.49	1984
437.74	1711
437.99	2191
438.24	1901
438.49	1865
438.74	1616
438.99	1690
439.24	1650
439.49	1882
439.74	1712
439.99	1995
440.24	1630
440.49	1676
440.74	1721
440.99	1950
441.24	1668
441.49	2081
441.74	1980
441.99	1885
442.24	1715
442.49	2058
442.74	1815
442.99	1966
443.24	1756
443.49	1820
443.74	1712
443.99	1898
444.24	1992
444.49	1545
444.74	1798
444.99	1554
445.24	1678
445.49	1663
445.74	1548
445.99	1655
446.24	1948
446.49	1715
446.74	1738
446.99	1790
447.24	1709
447.49	1754
447.74	2028
447.99	1846
448.24	1634
448.49	1748
448.74	1847
448.99	1526
449.24	1822
449.49	1583
449.74	1604
449.99	1806
450.24	1850
450.49	1522
450.74	1697
450.99	1748
451.24	1508
451.49	1798
451.74	1327
451.99	2045
452.24	1878
452.49	1631
452.74	1848
452.99	1597
453.24	1627
453.49	1711
453.74	1562
453.99	1404
454.24	1685
454.49	1671
454.74	1606
454.99	1753
455.24	1642
455.49	1511
455.74	1741
455.99	1743
456.24	1397
456.49	1400
456.74	1805
456.99	1630
457.24	1678
457.49	1813
457.74	1454
457.99	1458
458.24	1394
458.49	1664
458.74	1540
458.99	1589
459.24	1655
459.49	1594
459.74	1553
459.99	1560
460.24	1790
460.49	1727
460.74	1720
460.99	1408
461.24	1332
461.49	1544
461.74	1554
461.99	1642
462.24	1742
462.49	1777
462.74	1510
462.99	1601
463.24	1620
463.49	1565
463.74	1489
463.99	1635
464.24	1317
464.49	1346
464.74	1784
464.99	1526
465.24	1444
465.49	1531
465.74	1531
465.99	1718
466.24	1659
466.49	1725
466.74	1630
466.99	1598
467.24	1764
467.49	1473
467.74	1588
467.99	1515
468.24	1848
468.49	1591
468.74	1356
468.99	1577
469.24	1778
469.49	1787
469.74	1583
469.99	1585
470.24	1498
470.49	1705
470.74	1668
470.99	1660
471.24	1669
471.49	1666
471.74	1876
471.99	1857
472.24	1797
472.49	2020
472.74	1928
472.99	2151
473.24	1871
473.49	1772
473.74	2304
473.99	2049
474.24	1769
474.49	2077
474.74	1848
474.99	2168
475.24	2036
475.49	2412
475.74	1988
475.99	2180
476.24	2428
476.49	2354
476.74	2253
476.99	2214
477.24	2430
477.49	2319
477.74	2456
477.99	2253
478.24	2351
478.49	2380
478.74	2699
478.99	2418
479.24	2880
479.49	2808
479.74	2702
479.99	2908
480.24	2918
480.49	3146
480.74	3232
480.99	3089
481.24	3359
481.49	3157
481.74	3232
481.99	3443
482.24	3297
482.49	3480
482.74	3462
482.99	3628
483.24	3330
483.49	3487
483.74	3524
483.99	3734
484.24	3654
484.49	3743
484.74	4022
484.99	3919
485.24	4329
485.49	4118
485.74	4015
485.99	4255
486.24	4278
486.49	4072
486.74	4213
486.99	4538
487.24	4469
487.49	4415
487.74	4615
487.99	4647
488.24	4801
488.49	4854
488.74	4998
488.99	4785
489.24	5044
489.49	5036
489.74	4873
489.99	5173
490.24	5216
490.49	5373
490.74	5302
490.99	5339
491.24	5513
491.49	5726
491.74	5738
491.99	5715
492.24	5899
492.49	5527
492.74	6031
492.99	6132
493.24	6022
493.49	6274
493.74	5850
493.99	6419
494.24	6491
494.49	6278
494.74	6657
494.99	6473
495.24	6512
495.49	6426
495.74	6818
495.99	6560
496.24	6697
496.49	6832
496.74	6944
496.99	6925
497.24	7024
497.49	6840
497.74	7017
497.99	6995
498.24	7274
498.49	7020
498.74	7394
498.99	7385
499.24	7370
499.49	7641
499.74	7642
499.99	7632
500.24	7536
500.49	7839
500.74	8112
500.99	8022
501.24	8044
501.49	8093
501.74	8249
501.99	8273
502.24	8246
502.49	8200
502.74	8683
502.99	8546
503.24	8622
503.49	8456
503.74	8543
503.99	8814
504.24	8904
504.49	9226
504.74	9156
504.99	9326
505.24	9206
505.49	9732
505.74	9530
505.99	9413
506.24	9863
506.49	9660
506.74	10101
506.99	9805
507.24	9994
507.49	10193
507.74	10205
507.99	10360
508.24	10680
508.49	10831
508.74	10965
508.99	10999
509.24	11281
509.49	11151
509.74	11635
509.99	11750
510.24	11801
510.49	11923
510.74	12382
510.99	12417
511.24	12504
511.49	12601
511.74	12880
511.99	13070
512.24	13367
512.49	13572
512.74	14036
512.99	14019
513.24	14055
513.49	14261
513.74	14537
513.99	14516
514.24	15166
514.49	15256
514.74	15686
514.99	15725
515.24	16351
515.49	16515
515.74	16869
515.99	17303
516.24	17472
516.49	17486
516.74	18246
516.99	18525
517.24	18910
517.49	18928
517.74	19287
517.99	19891
518.24	19876
518.49	20565
518.74	20653
518.99	20967
519.24	21009
519.49	21534
519.74	21652
519.99	22026
520.24	22307
520.49	22593
520.74	23177
520.99	23429
521.24	23668
521.49	23996
521.74	24515
521.99	24705
522.24	25084
522.49	25552
522.74	25623
522.99	25998
523.24	26616
523.49	26824
523.74	27297
523.99	27493
524.24	28304
524.49	28108
524.74	28635
524.99	29034
525.24	29415
525.49	29567
525.74	29703
525.99	30028
526.24	30382
526.49	31114
526.74	31087
526.99	31223
527.24	31861
527.49	32219
527.74	32338
527.99	32579
528.24	32941
528.49	33227
528.74	33799
528.99	33980
529.24	34127
529.49	34263
529.74	34700
529.99	34903
530.24	34595
530.49	35381
530.74	35596
530.99	35845
531.24	35723
531.49	36148
531.74	36250
531.99	36461
532.24	36645
532.49	36437
532.74	36617
532.99	36849
533.24	37111
533.49	37111
533.74	36851
533.99	37338
534.24	37180
534.49	37583
534.74	37231
534.99	37413
535.24	37565
535.49	37460
535.74	37721
535.99	37777
536.24	37765
536.49	37823
536.74	37850
536.99	37766
537.24	37853
537.49	37771
537.74	37746
537.99	37918
538.24	37789
538.49	37795
538.74	37924
538.99	37880
539.24	38076
539.49	37572
539.74	37751
539.99	38091
540.24	37270
540.49	37526
540.74	37614
540.99	37803
541.24	37658
541.49	37753
541.74	37515
541.99	37612
542.24	37773
542.49	37556
542.74	37701
542.99	37862
543.24	38195
543.49	38207
543.74	38302
543.99	38081
544.24	38392
544.49	38452
544.74	37988
544.99	38106
545.24	38399
545.49	38871
545.74	38952
545.99	38761
546.24	39193
546.49	39292
546.74	39554
546.99	39566
547.24	39837
547.49	40269
547.74	40592
547.99	40882
548.24	40831
548.49	41510
548.74	41647
548.99	42040
549.24	42109
549.49	42659
549.74	42829
549.99	43335
550.24	43603
550.49	43821
550.74	44586
550.99	44981
551.24	45572
551.49	46261
551.74	46414
551.99	47257
552.24	47891
552.49	48505
552.74	48843
552.99	49637
553.24	50225
553.49	50919
553.74	51605
553.99	52186
554.24	52964
554.49	53897
554.74	54405
554.99	55339
555.24	56684
555.49	57648
555.74	58582
555.99	59328
556.24	60197
556.49	61323
556.74	62454
556.99	63332
557.24	64336
557.49	65168
557.74	66075
557.99	67149
558.24	68008
558.49	68980
558.74	70304
558.99	71096
559.24	71992
559.49	73185
559.74	74541
559.99	75724
560.24	76790
560.49	77978
560.74	79055
560.99	80289
